att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,class
0.617021,50,0.040861,0.01,0.445403,0.15,0.003467,0.13,0.422915,0,0.414912,0
0.638298,44,0.040861,0,0.442428,0.14,0.003467,0.13,0.422915,0,0.414912,0
0.659574,37,0.040861,0.06,0.450759,0.1,0.003467,0.05,0.422915,0.14,0.414912,0
0.680851,22,0.040861,0.12,0.455965,0,0.003467,0.05,0.422915,0.09,0.414912,0
0.702128,34,0.040861,0.1,0.484677,0.03,0.003467,0.07,0.422915,0.06,0.414912,0
0.723404,13,0.041041,0.05,0.53377,0.02,0.003467,0.09,0.422915,0.15,0.414912,0
0.744681,45,0.041041,0.12,0.604136,0.13,0.003467,0.02,0.422915,0.05,0.414912,0
0.765957,16,0.040861,0.11,0.587028,0.02,0.003467,0.14,0.422915,0.07,0.414912,0
0.787234,7,0.040711,0.11,0.552812,0.04,0.003467,0.14,0.422915,0.14,0.414912,0
0.808511,29,0.040711,0.02,0.51086,0,0.003467,0.07,0.422915,0.1,0.414912,0
0.829787,4,0.040861,0.03,0.480065,0.06,0.003467,0.03,0.422915,0.13,0.414912,0
0.851064,35,0.041041,0.14,0.452246,0.06,0.003467,0.1,0.422915,0.03,0.414912,0
0.87234,28,0.041041,0.07,0.431568,0.04,0.003467,0.03,0.422915,0.11,0.414912,0
0.893617,32,0.041041,0.15,0.3856,0.09,0.003467,0.04,0.422915,0.13,0.414912,0
0.914894,24,0.041041,0.13,0.350342,0.09,0.003467,0,0.422915,0.09,0.414912,0
0.93617,40,0.056443,0.08,0.409104,0.08,0.003467,0.02,0.422915,0.12,0.414912,1
0.957447,21,0.055362,0.04,0.435138,0.02,0.003467,0.1,0.422915,0.06,0.414912,1
0.978723,4,0.059235,0.02,0.456412,0.1,0.003467,0.15,0.422915,0.07,0.414912,1
1,44,0.054642,0.07,0.449866,0.05,0.003467,0.12,0.422915,0.1,0.414912,1
0,11,0.054642,0.02,0.44823,0.08,0.003467,0,0.422915,0.06,0.414912,1
0.021277,30,0.054642,0.03,0.429485,0,0.003467,0.11,0.422915,0,0.414912,1
0.042553,38,0.051489,0.08,0.399286,0.06,0.003467,0.01,0.422915,0.13,0.414912,1
0.06383,39,0.041041,0.14,0.331449,0.01,0.003467,0.04,0.422915,0,0.414912,0
0.085106,15,0.041041,0.01,0.271794,0.02,0.003467,0,0.422915,0.12,0.414912,0
0.106383,8,0.041041,0.13,0.228206,0.11,0.003467,0.12,0.422915,0.04,0.414912,0
0.12766,12,0.041041,0.03,0.183576,0.02,0.003467,0.1,0.422915,0,0.414912,0
0.148936,22,0.041041,0.05,0.162452,0.06,0.003467,0.06,0.422915,0.02,0.414912,0
0.170213,14,0.046956,0.03,0.151592,0.07,0.003467,0.09,0.422915,0.04,0.414912,1
0.191489,12,0.046956,0.14,0.147724,0,0.003467,0.13,0.422915,0.11,0.414912,1
0.212766,24,0.046956,0.03,0.174353,0,0.003467,0.14,0.422915,0.11,0.414912,1
0.234043,34,0.047106,0,0.2169,0.02,0.003467,0.08,0.422915,0.02,0.414912,1
0.255319,6,0.049868,0.01,0.307349,0.02,0.003467,0.03,0.422915,0.12,0.414912,1
0.276596,25,0.047106,0.07,0.403451,0.11,0.003467,0.14,0.422915,0.14,0.414912,1
0.297872,2,0.046956,0,0.407766,0.12,0.003467,0.08,0.422915,0.14,0.414912,1
0.319149,48,0.041161,0.15,0.465486,0.15,0.003467,0.01,0.422915,0.1,0.414912,0
0.340426,15,0.040711,0.07,0.490777,0.09,0.003467,0.08,0.422915,0.07,0.414912,0
0.361702,6,0.041161,0.15,0.493603,0.01,0.003467,0,0.422915,0.12,0.414912,0
0.382979,36,0.045515,0.13,0.519786,0.11,0.003467,0.14,0.422915,0.04,0.414912,1
0.404255,19,0.046956,0.14,0.531836,0.1,0.003467,0.02,0.422915,0.14,0.414912,1
0.425532,6,0.046956,0.12,0.520976,0.05,0.003467,0.02,0.422915,0.06,0.414912,1
0.446809,19,0.047106,0.14,0.490925,0.02,0.003467,0.06,0.422915,0.15,0.414912,1
0.468085,23,0.047106,0.11,0.49762,0.15,0.003467,0.12,0.422915,0.01,0.414912,1
0.489362,14,0.047106,0.04,0.490479,0.02,0.003467,0.02,0.422915,0.05,0.414912,1
0.510638,43,0.047106,0.15,0.482892,0.02,0.003467,0.11,0.422915,0.09,0.414912,1
0.531915,1,0.047436,0.05,0.475751,0.03,0.003467,0.06,0.422915,0,0.414912,1
0.553191,30,0.047436,0.06,0.474412,0.01,0.003467,0.12,0.422915,0.06,0.414912,1
0.574468,25,0.047106,0.01,0.466825,0.05,0.003467,0.11,0.422915,0.07,0.414912,1
0.595745,10,0.047106,0.02,0.458792,0.09,0.003467,0.14,0.422915,0.04,0.414912,1
0.617021,9,0.047106,0.03,0.446742,0.07,0.003467,0.08,0.422915,0.01,0.414912,1
0.638298,47,0.046956,0.03,0.439601,0.01,0.003467,0.06,0.422915,0,0.414912,1
0.659574,47,0.046956,0.05,0.442428,0.07,0.003467,0.05,0.422915,0.1,0.414912,1
0.680851,32,0.042482,0.05,0.450461,0.02,0.003467,0,0.422915,0.02,0.414912,0
0.702128,39,0.042482,0,0.468015,0.15,0.003467,0.08,0.422915,0.09,0.414912,0
0.723404,39,0.046956,0.13,0.510562,0.09,0.003467,0.02,0.422915,0.12,0.414912,1
0.744681,50,0.046956,0.11,0.592086,0.15,0.003467,0.13,0.422915,0.07,0.414912,1
0.765957,31,0.046956,0.07,0.584796,0.13,0.003467,0.13,0.422915,0.04,0.414912,1
0.787234,26,0.042482,0.13,0.558018,0.03,0.003467,0.14,0.422915,0.09,0.414912,0
0.808511,1,0.040711,0.04,0.52053,0.06,0.003467,0.09,0.422915,0.06,0.414912,0
0.829787,46,0.040711,0,0.493454,0.07,0.003467,0.05,0.422915,0.01,0.414912,0
0.851064,10,0.042482,0.05,0.473817,0.13,0.003467,0.09,0.422915,0.07,0.414912,0
0.87234,47,0.041882,0.14,0.453585,0.15,0.003467,0.11,0.422915,0.03,0.414912,0
0.893617,46,0.046956,0.01,0.407468,0.02,0.003467,0.08,0.422915,0.09,0.414912,1
0.914894,3,0.046956,0.02,0.371169,0.04,0.003467,0.08,0.422915,0.12,0.414912,1
0.93617,28,0.056443,0.07,0.422345,0.08,0.003467,0.11,0.422915,0.1,0.414912,1
0.957447,12,0.051699,0.09,0.442577,0.11,0.003467,0.04,0.422915,0.11,0.414912,1
0.978723,9,0.075868,0.02,0.46385,0.01,0.003467,0.13,0.422915,0.1,0.414912,1
1,18,0.075267,0.09,0.462065,0.1,0.003467,0.07,0.422915,0.1,0.414912,1
0,2,0.075868,0.15,0.459833,0.15,0.003467,0.05,0.422915,0.09,0.414912,1
0.021277,2,0.075868,0.12,0.434543,0.07,0.003467,0.01,0.422915,0.07,0.414912,1
0.042553,29,0.074517,0,0.395567,0.14,0.003467,0.13,0.422915,0.03,0.414912,1
0.06383,20,0.075267,0.15,0.327879,0.13,0.003467,0.02,0.422915,0.13,0.414912,1
0.085106,41,0.075868,0,0.273282,0,0.003467,0.08,0.422915,0.14,0.414912,1
0.106383,2,0.074517,0.12,0.232223,0.09,0.003467,0.07,0.422915,0,0.414912,1
0.12766,42,0.073976,0.08,0.187295,0.05,0.003467,0,0.422915,0.11,0.414912,1
0.148936,30,0.073976,0.13,0.164237,0.04,0.003467,0.14,0.422915,0.04,0.414912,1
0.170213,2,0.076948,0.12,0.154418,0.1,0.003467,0.11,0.422915,0.01,0.414912,1
0.191489,30,0.074367,0.09,0.159625,0.04,0.003467,0.14,0.422915,0.03,0.414912,1
0.212766,24,0.074367,0,0.182981,0.02,0.003467,0.08,0.422915,0.12,0.414912,1
0.234043,4,0.076948,0.09,0.226867,0.07,0.003467,0.02,0.422915,0.09,0.414912,1
0.255319,12,0.077999,0.13,0.314192,0.01,0.003467,0.06,0.422915,0.07,0.414912,1
0.276596,48,0.077039,0.05,0.401517,0.13,0.003467,0.08,0.422915,0.14,0.414912,1
0.297872,29,0.089798,0.02,0.405832,0.12,0.003467,0.02,0.422915,0,0.414912,1
0.319149,28,0.089798,0.13,0.457751,0,0.003467,0.08,0.422915,0.14,0.414912,1
0.340426,26,0.089798,0.02,0.496727,0.07,0.003467,0.08,0.422915,0.08,0.414912,1
0.361702,9,0.089798,0.07,0.500595,0.03,0.003467,0.14,0.422915,0.14,0.414912,1
0.382979,47,0.149664,0.07,0.542101,0.12,0.003467,0.09,0.422915,0.02,0.414912,1
0.404255,11,0.089798,0.02,0.550878,0,0.003467,0.15,0.422915,0.04,0.414912,1
0.425532,12,0.089798,0.03,0.535257,0.15,0.003467,0.13,0.422915,0,0.414912,1
0.446809,40,0.089798,0.1,0.516662,0.03,0.003467,0.02,0.422915,0.09,0.414912,1
0.468085,6,0.047676,0.02,0.50476,0.11,0.003467,0.14,0.422915,0.13,0.414912,0
0.489362,18,0.146902,0.14,0.495537,0.09,0.003467,0.13,0.422915,0.07,0.414912,1
0.510638,12,0.193287,0.15,0.485272,0.11,0.003467,0.11,0.422915,0.02,0.414912,1
0.531915,13,0.193287,0.06,0.482594,0.1,0.003467,0.04,0.422915,0.15,0.414912,1
0.553191,1,0.194548,0.13,0.473371,0.04,0.003467,0.13,0.422915,0.07,0.414912,1
0.574468,45,0.193287,0.07,0.468164,0.04,0.003467,0.12,0.422915,0.05,0.414912,1
0.595745,31,0.139636,0.13,0.461619,0.14,0.003467,0.09,0.422915,0.13,0.414912,1
0.617021,21,0.149664,0.06,0.456709,0.04,0.003467,0.11,0.422915,0,0.414912,1
0.638298,28,0.089798,0.14,0.439453,0.04,0.003467,0.11,0.422915,0.06,0.414912,1
0.659574,12,0.089798,0.05,0.438411,0.11,0.003467,0.09,0.422915,0.05,0.414912,1
0.680851,0,0.06626,0.11,0.441684,0.04,0.003467,0.04,0.422915,0.13,0.414912,0
0.702128,20,0.089798,0.13,0.458792,0,0.003467,0.01,0.422915,0.13,0.414912,1
0.723404,27,0.089798,0.07,0.499554,0.15,0.003467,0.05,0.422915,0.15,0.414912,1
0.744681,45,0.077039,0.15,0.54939,0.11,0.003467,0.05,0.422915,0.15,0.414912,0
0.765957,50,0.047586,0.03,0.53377,0.1,0.003467,0.11,0.422915,0.03,0.414912,0
0.787234,30,0.076948,0.13,0.505504,0.11,0.003467,0.1,0.422915,0.07,0.414912,0
0.808511,25,0.076948,0.08,0.458346,0.06,0.003467,0.01,0.422915,0.07,0.414912,0
0.829787,27,0.074036,0.1,0.429485,0.12,0.003467,0,0.422915,0.11,0.414912,0
0.851064,16,0.047586,0.08,0.399137,0,0.003467,0.03,0.422915,0,0.414912,0
0.87234,38,0.047586,0.14,0.376525,0.03,0.003467,0.13,0.422915,0.14,0.414912,0
0.893617,35,0.072835,0.13,0.352127,0.02,0.003467,0.1,0.422915,0.14,0.414912,0
0.914894,30,0.047586,0.13,0.309283,0.12,0.003467,0.15,0.422915,0.02,0.414912,0
0.93617,42,0.072835,0.08,0.381434,0.14,0.003467,0.15,0.422915,0.07,0.414912,0
0.957447,11,0.074367,0,0.408956,0.06,0.003467,0.02,0.422915,0.02,0.414912,0
0.978723,30,0.093611,0.07,0.43856,0.05,0.003467,0.11,0.422915,0.1,0.414912,1
1,12,0.149664,0.04,0.435436,0.09,0.003467,0,0.422915,0.15,0.414912,1
0,20,0.076948,0.11,0.436924,0.05,0.003467,0.11,0.422915,0.09,0.414912,0
0.021277,5,0.074336,0.08,0.407468,0,0.003467,0,0.422915,0.01,0.414912,0
0.042553,21,0.077039,0.02,0.368343,0,0.003467,0.11,0.422915,0.1,0.414912,0
0.06383,11,0.072835,0.09,0.304522,0.05,0.003467,0.14,0.422915,0.02,0.414912,0
0.085106,44,0.071905,0,0.246355,0,0.003467,0.05,0.422915,0.14,0.414912,0
0.106383,17,0.046956,0.12,0.196816,0.02,0.003467,0.08,0.422915,0.01,0.414912,0
0.12766,17,0.046956,0.04,0.152633,0.05,0.003467,0.01,0.422915,0.14,0.414912,0
0.148936,11,0.046806,0.13,0.127343,0,0.003467,0.02,0.422915,0.08,0.414912,0
0.170213,19,0.046956,0.09,0.11083,0.1,0.003467,0.05,0.422915,0.12,0.414912,0
0.191489,46,0.046956,0.15,0.101607,0.06,0.003467,0.14,0.422915,0.02,0.414912,0
0.212766,38,0.046956,0.07,0.105326,0.09,0.003467,0.11,0.422915,0.08,0.414912,0
0.234043,4,0.062417,0,0.120649,0.13,0.003467,0.06,0.422915,0.15,0.414912,0
0.255319,19,0.062417,0.15,0.149807,0.03,0.003467,0.02,0.422915,0.15,0.414912,0
0.276596,30,0.072145,0.06,0.176882,0.08,0.003467,0.13,0.422915,0.04,0.414912,0
0.297872,1,0.047106,0.14,0.214073,0.07,0.003467,0.02,0.422915,0.01,0.414912,0
0.319149,28,0.080581,0.01,0.286224,0.01,0.003467,0.05,0.422915,0.03,0.414912,0
0.340426,41,0.072145,0.09,0.344243,0.15,0.003467,0.06,0.422915,0.08,0.414912,0
0.361702,25,0.080581,0.02,0.385897,0.13,0.003467,0.13,0.422915,0.05,0.414912,0
0.382979,38,0.080581,0.08,0.423535,0.07,0.003467,0.06,0.422915,0.02,0.414912,0
0.404255,46,0.072745,0.12,0.428593,0.09,0.003467,0.13,0.422915,0.04,0.414912,0
0.425532,18,0.047376,0.03,0.416989,0.02,0.003467,0.1,0.422915,0.1,0.414912,0
0.446809,17,0.047256,0.06,0.403154,0.03,0.003467,0.15,0.422915,0.02,0.414912,0
0.468085,29,0.072145,0.05,0.382624,0.02,0.003467,0.05,0.422915,0.1,0.414912,0
0.489362,6,0.047256,0,0.371021,0,0.003467,0.15,0.422915,0.03,0.414912,0
0.510638,24,0.072145,0.1,0.354508,0.08,0.003467,0.02,0.422915,0.14,0.414912,0
0.531915,27,0.047256,0,0.337102,0.1,0.003467,0.12,0.422915,0.14,0.414912,0
0.553191,36,0.047256,0.02,0.325796,0.02,0.003467,0.03,0.422915,0.13,0.414912,0
0.574468,42,0.072145,0.12,0.313746,0,0.003467,0.12,0.422915,0.07,0.414912,0
0.595745,29,0.047256,0.07,0.296489,0.1,0.003467,0.13,0.422915,0.1,0.414912,0
0.617021,14,0.047256,0.09,0.287266,0.02,0.003467,0,0.422915,0.03,0.414912,0
0.638298,49,0.072145,0.14,0.284588,0.03,0.003467,0.09,0.422915,0.11,0.414912,1
0.659574,10,0.072745,0.01,0.287266,0.05,0.003467,0.12,0.422915,0.05,0.414912,1
0.680851,20,0.080581,0.01,0.291431,0.05,0.003467,0.01,0.422915,0.08,0.414912,1
0.702128,7,0.080581,0.08,0.318209,0.13,0.003467,0.05,0.422915,0.05,0.414912,1
0.723404,40,0.072745,0.08,0.363136,0.01,0.003467,0.09,0.422915,0.07,0.414912,1
0.744681,12,0.080581,0.05,0.44942,0.06,0.003467,0.07,0.422915,0,0.414912,1
0.765957,25,0.072745,0.05,0.458048,0.13,0.003467,0.09,0.422915,0.06,0.414912,1
0.787234,45,0.072145,0.13,0.428444,0,0.003467,0.11,0.422915,0.02,0.414912,1
0.808511,35,0.047256,0.02,0.385302,0.05,0.003467,0.09,0.422915,0.12,0.414912,0
0.829787,30,0.047256,0.09,0.351532,0.01,0.003467,0.14,0.422915,0.14,0.414912,0
0.851064,32,0.047256,0,0.32535,0.06,0.003467,0.06,0.422915,0.04,0.414912,0
0.87234,48,0.047256,0.15,0.309432,0.06,0.003467,0.15,0.422915,0.06,0.414912,0
0.893617,32,0.047106,0.12,0.282059,0.1,0.003467,0.04,0.422915,0.08,0.414912,0
0.914894,42,0.047106,0.15,0.259447,0.12,0.003467,0.06,0.422915,0.12,0.414912,0
0.93617,26,0.072145,0.11,0.29753,0.14,0.003467,0.14,0.422915,0.02,0.414912,1
0.957447,33,0.047106,0.13,0.31687,0.14,0.003467,0.1,0.422915,0.08,0.414912,0
0.978723,19,0.047256,0.11,0.3374,0.11,0.003467,0.01,0.422915,0.15,0.414912,0
1,23,0.047256,0.06,0.316572,0.11,0.003467,0.04,0.422915,0.15,0.414912,0
0,29,0.047106,0.08,0.30244,0.1,0.003467,0.09,0.422915,0.12,0.414912,0
0.021277,3,0.047106,0,0.259,0.08,0.003467,0.08,0.422915,0.06,0.414912,0
0.042553,48,0.047106,0.1,0.234157,0.08,0.003467,0.03,0.422915,0.01,0.414912,0
0.06383,35,0.047106,0.04,0.182089,0.02,0.003467,0.09,0.422915,0.07,0.414912,0
0.085106,15,0.046956,0.12,0.140732,0.14,0.003467,0.14,0.422915,0.01,0.414912,0
0.106383,31,0.062417,0.08,0.111425,0.03,0.003467,0.14,0.422915,0.1,0.414912,1
0.12766,27,0.062417,0.09,0.087176,0.11,0.003467,0.15,0.422915,0.01,0.414912,1
0.148936,46,0.062417,0,0.07349,0.13,0.003467,0.13,0.422915,0.09,0.414912,1
0.170213,31,0.062417,0.04,0.058167,0.11,0.003467,0.01,0.422915,0.02,0.414912,1
0.191489,7,0.062417,0.12,0.052812,0.07,0.003467,0.02,0.422915,0.15,0.414912,1
0.212766,39,0.063889,0.02,0.064267,0.14,0.003467,0.13,0.422915,0.08,0.414912,1
0.234043,40,0.062417,0.09,0.074383,0.01,0.003467,0,0.422915,0.05,0.414912,1
0.255319,5,0.062417,0.06,0.090747,0.14,0.003467,0.1,0.422915,0.06,0.414912,1
0.276596,7,0.046956,0.06,0.091937,0.06,0.003467,0.06,0.422915,0.09,0.414912,0
0.297872,50,0.046956,0.07,0.127938,0.03,0.003467,0.09,0.422915,0.13,0.414912,0
0.319149,12,0.047256,0.05,0.180452,0.08,0.003467,0.09,0.422915,0.03,0.414912,0
0.340426,17,0.047256,0.02,0.230884,0.14,0.003467,0.1,0.422915,0.07,0.414912,0
0.361702,22,0.047256,0,0.277298,0.14,0.003467,0.13,0.422915,0.14,0.414912,0
0.382979,4,0.047376,0.02,0.327581,0.08,0.003467,0.09,0.422915,0.05,0.414912,0
0.404255,17,0.047376,0.08,0.351235,0.03,0.003467,0.13,0.422915,0.1,0.414912,0
0.425532,37,0.047256,0.13,0.355251,0.11,0.003467,0.02,0.422915,0.14,0.414912,0
0.446809,49,0.047256,0.02,0.345582,0.1,0.003467,0.02,0.422915,0.04,0.414912,0
0.468085,17,0.071694,0.07,0.337251,0.04,0.003467,0.14,0.422915,0,0.414912,1
0.489362,13,0.054131,0.08,0.323416,0.01,0.003467,0.08,0.422915,0.04,0.414912,0
0.510638,32,0.071694,0.03,0.308242,0.12,0.003467,0.11,0.422915,0.08,0.414912,1
0.531915,10,0.069383,0,0.281018,0.02,0.003467,0.1,0.422915,0.09,0.414912,1
0.553191,9,0.047256,0.1,0.263612,0.1,0.003467,0.1,0.422915,0.04,0.414912,0
0.574468,22,0.047256,0.08,0.244868,0.08,0.003467,0.14,0.422915,0.09,0.414912,0
0.595745,8,0.047256,0.13,0.235049,0.03,0.003467,0.14,0.422915,0.02,0.414912,0
0.617021,4,0.047106,0.07,0.231479,0.15,0.003467,0.06,0.422915,0.05,0.414912,0
0.638298,33,0.047256,0.09,0.23252,0.02,0.003467,0.12,0.422915,0.01,0.414912,0
0.659574,31,0.047106,0.09,0.240405,0.09,0.003467,0.09,0.422915,0.04,0.414912,0
0.680851,38,0.047256,0.13,0.240702,0.15,0.003467,0.04,0.422915,0.08,0.414912,0
0.702128,35,0.047256,0.07,0.263761,0.13,0.003467,0.1,0.422915,0.11,0.414912,0
0.723404,13,0.047286,0,0.311068,0.09,0.003467,0.02,0.422915,0.14,0.414912,0
0.744681,6,0.047436,0.12,0.387682,0.08,0.003467,0.12,0.422915,0.11,0.414912,0
0.765957,42,0.069383,0.15,0.403898,0.14,0.003467,0.1,0.422915,0.07,0.414912,1
0.787234,23,0.047376,0.02,0.383071,0.1,0.003467,0.13,0.422915,0.13,0.414912,0
0.808511,8,0.047256,0.03,0.366706,0.03,0.003467,0.1,0.422915,0.12,0.414912,0
0.829787,11,0.047256,0.14,0.346772,0.01,0.003467,0.04,0.422915,0.12,0.414912,0
0.851064,15,0.047256,0.1,0.328771,0.01,0.003467,0.14,0.422915,0.02,0.414912,0
0.87234,32,0.047106,0.14,0.311068,0.15,0.003467,0.05,0.422915,0.08,0.414912,0
